MPIO,AÑO,Población_menor,Cantidad,tasa
13780,2019,1433,1,69.78
13810,2019,2447,0,0.0
13836,2019,9291,0,0.0
13838,2019,1524,0,0.0
13873,2019,2418,0,0.0
13894,2019,1156,0,0.0
15001,2019,11895,0,0.0
15022,2019,97,0,0.0
15047,2019,1402,0,0.0
15051,2019,501,0,0.0
15087,2019,539,0,0.0
15090,2019,102,0,0.0
15092,2019,133,0,0.0
15097,2019,309,0,0.0
15104,2019,383,0,0.0
15106,2019,146,0,0.0
15109,2019,280,0,0.0
15114,2019,125,0,0.0
15131,2019,212,0,0.0
15135,2019,278,0,0.0
15162,2019,212,0,0.0
15172,2019,196,0,0.0
15176,2019,4073,0,0.0
15180,2019,269,0,0.0
15183,2019,746,0,0.0
15185,2019,521,0,0.0
15187,2019,318,0,0.0
15189,2019,422,0,0.0
15204,2019,789,0,0.0
15212,2019,276,0,0.0
15215,2019,198,0,0.0
15218,2019,218,0,0.0
15223,2019,1717,0,0.0
15224,2019,349,0,0.0
15226,2019,168,0,0.0
15232,2019,417,0,0.0
15236,2019,172,0,0.0
15238,2019,8096,0,0.0
15244,2019,358,0,0.0
15248,2019,204,0,0.0
15272,2019,490,0,0.0
15276,2019,203,0,0.0
15293,2019,233,0,0.0
15296,2019,487,0,0.0
15299,2019,1258,0,0.0
15317,2019,152,0,0.0
15322,2019,619,0,0.0
15325,2019,159,0,0.0
15332,2019,476,1,210.08
15362,2019,175,0,0.0
15367,2019,592,0,0.0
15368,2019,359,0,0.0
15377,2019,281,0,0.0
15380,2019,172,0,0.0
15401,2019,68,0,0.0
15403,2019,201,0,0.0
15407,2019,1270,0,0.0
15425,2019,337,0,0.0
15442,2019,398,0,0.0
15455,2019,574,0,0.0
15464,2019,404,0,0.0
15466,2019,356,0,0.0
15469,2019,1581,0,0.0
15476,2019,579,0,0.0
15480,2019,606,0,0.0
15491,2019,1238,0,0.0
15494,2019,388,0,0.0
15500,2019,224,0,0.0
15507,2019,649,0,0.0
15511,2019,128,0,0.0
15514,2019,283,0,0.0
15516,2019,2408,0,0.0
15518,2019,214,0,0.0
15522,2019,142,0,0.0
15531,2019,397,0,0.0
15533,2019,270,0,0.0
15537,2019,300,0,0.0
15542,2019,587,0,0.0
15550,2019,188,0,0.0
15572,2019,4192,0,0.0
15580,2019,287,0,0.0
15599,2019,760,0,0.0
15600,2019,627,0,0.0
15621,2019,168,0,0.0
15632,2019,1148,0,0.0
15638,2019,547,0,0.0
15646,2019,1862,0,0.0
15660,2019,110,0,0.0
15664,2019,374,0,0.0
15667,2019,394,1,253.81
15673,2019,254,0,0.0
15676,2019,251,0,0.0
15681,2019,525,0,0.0
15686,2019,594,0,0.0
15690,2019,245,0,0.0
15693,2019,764,0,0.0
15696,2019,286,0,0.0
15720,2019,131,0,0.0
15723,2019,86,0,0.0
15740,2019,737,0,0.0
15753,2019,550,0,0.0
15755,2019,732,0,0.0
15757,2019,704,0,0.0
15759,2019,8650,0,0.0
15761,2019,129,0,0.0
15762,2019,283,0,0.0
15763,2019,774,0,0.0
15764,2019,552,0,0.0
15774,2019,170,0,0.0
15776,2019,459,0,0.0
15778,2019,242,0,0.0
15790,2019,468,0,0.0
15798,2019,196,0,0.0
15804,2019,711,0,0.0
15806,2019,986,0,0.0
15808,2019,276,0,0.0
15810,2019,244,0,0.0
15814,2019,875,0,0.0
15816,2019,391,1,255.75
15820,2019,335,0,0.0
15822,2019,539,0,0.0
15832,2019,161,0,0.0
15835,2019,427,0,0.0
15837,2019,737,0,0.0
15839,2019,192,0,0.0
15842,2019,590,0,0.0
15861,2019,1449,0,0.0
15879,2019,178,0,0.0
15897,2019,330,0,0.0
17001,2019,23196,0,0.0
17013,2019,1673,0,0.0
17042,2019,2381,0,0.0
17050,2019,784,0,0.0
17088,2019,988,0,0.0
17174,2019,3087,0,0.0
17272,2019,757,0,0.0
17380,2019,5447,0,0.0
17388,2019,367,0,0.0
17433,2019,1349,0,0.0
17442,2019,905,0,0.0
17444,2019,1087,0,0.0
17446,2019,233,0,0.0
17486,2019,1518,0,0.0
17495,2019,521,0,0.0
17513,2019,932,0,0.0
17524,2019,1203,0,0.0
17541,2019,1525,0,0.0
17614,2019,4032,0,0.0
17616,2019,751,0,0.0
17653,2019,1168,0,0.0
17662,2019,1725,0,0.0
17665,2019,406,0,0.0
17777,2019,2298,0,0.0
17867,2019,804,0,0.0
17873,2019,4277,0,0.0
17877,2019,714,0,0.0
18001,2019,14763,1,6.77
18029,2019,394,0,0.0
18094,2019,1013,0,0.0
18150,2019,3819,0,0.0
18205,2019,875,0,0.0
18247,2019,1812,0,0.0
18256,2019,1973,0,0.0
18410,2019,1573,0,0.0
18460,2019,1255,0,0.0
18479,2019,383,0,0.0
18592,2019,2653,0,0.0
18610,2019,1328,0,0.0
18753,2019,6142,0,0.0
18756,2019,1478,0,0.0
18785,2019,633,0,0.0
18860,2019,566,0,0.0
19001,2019,20286,0,0.0
19022,2019,1173,0,0.0
19050,2019,2115,0,0.0
19075,2019,1491,0,0.0
19100,2019,2294,0,0.0
19110,2019,2878,0,0.0
19130,2019,3365,0,0.0
19137,2019,4543,0,0.0
19142,2019,2464,0,0.0
19212,2019,1799,0,0.0
19256,2019,3830,0,0.0
19290,2019,345,0,0.0
19300,2019,1434,0,0.0
19318,2019,3045,0,0.0
19355,2019,3106,0,0.0
19364,2019,1989,1,50.28
19392,2019,740,0,0.0
19397,2019,1738,0,0.0
19418,2019,2421,0,0.0
19450,2019,1399,0,0.0
19455,2019,2261,0,0.0
19473,2019,4020,0,0.0
19513,2019,672,0,0.0
19517,2019,5938,0,0.0
19532,2019,2520,0,0.0
19533,2019,925,0,0.0
19548,2019,3130,0,0.0
19573,2019,3161,0,0.0
19585,2019,1592,0,0.0
19622,2019,692,0,0.0
19693,2019,620,0,0.0
19698,2019,8782,0,0.0
19701,2019,447,0,0.0
19743,2019,3699,0,0.0
19760,2019,976,0,0.0
19780,2019,2913,0,0.0
19785,2019,538,0,0.0
19807,2019,2393,0,0.0
19809,2019,3451,1,28.98
19821,2019,3324,0,0.0
19824,2019,2570,0,0.0
19845,2019,1670,0,0.0
20001,2019,49441,9,18.2
20011,2019,10636,0,0.0
20013,2019,6500,3,46.15
20032,2019,2311,0,0.0
20045,2019,2779,3,107.95
20060,2019,4315,2,46.35
20175,2019,3876,0,0.0
20178,2019,3158,0,0.0
20228,2019,3863,1,25.89
20238,2019,3252,0,0.0
20250,2019,4861,0,0.0
20295,2019,1338,0,0.0
20310,2019,346,0,0.0
20383,2019,1768,0,0.0
20400,2019,5527,1,18.09
20443,2019,946,0,0.0
20517,2019,1771,0,0.0
20550,2019,2181,0,0.0
20570,2019,4363,6,137.52
20614,2019,1418,0,0.0
20621,2019,3015,0,0.0
20710,2019,2746,0,0.0
20750,2019,2074,0,0.0
20770,2019,2680,0,0.0
20787,2019,1688,1,59.24
23001,2019,41821,1,2.39
23068,2019,4903,1,20.4
23079,2019,2015,0,0.0
23090,2019,1459,0,0.0
23162,2019,8507,0,0.0
23168,2019,1330,0,0.0
23182,2019,3793,0,0.0
23189,2019,4910,1,20.37
23300,2019,1520,0,0.0
23350,2019,1449,0,0.0
23417,2019,9781,2,20.45
23419,2019,1812,1,55.19
23464,2019,1576,0,0.0
23466,2019,8279,0,0.0
23500,2019,2903,0,0.0
23555,2019,5570,0,0.0
23570,2019,3277,1,30.52
23574,2019,2213,0,0.0
23580,2019,4965,0,0.0
23586,2019,1582,0,0.0
23660,2019,8763,1,11.41
23670,2019,5356,2,37.34
23672,2019,3486,0,0.0
23675,2019,3417,0,0.0
23678,2019,2410,1,41.49
23682,2019,1656,0,0.0
23686,2019,3885,0,0.0
23807,2019,11517,3,26.05
23815,2019,7074,1,14.14
23855,2019,3230,0,0.0
25001,2019,622,0,0.0
25019,2019,489,0,0.0
25035,2019,1103,0,0.0
25040,2019,934,0,0.0
25053,2019,674,0,0.0
25086,2019,146,0,0.0
25095,2019,175,0,0.0
25099,2019,787,0,0.0
25120,2019,455,0,0.0
25123,2019,735,0,0.0
25126,2019,6712,0,0.0
25148,2019,766,0,0.0
25151,2019,1418,0,0.0
25154,2019,610,0,0.0
25168,2019,265,0,0.0
25175,2019,8612,0,0.0
25178,2019,810,0,0.0
25181,2019,731,0,0.0
25183,2019,1887,0,0.0
25200,2019,1912,0,0.0
25214,2019,2432,0,0.0
25224,2019,908,0,0.0
25245,2019,1554,0,0.0
25258,2019,323,0,0.0
25260,2019,2059,0,0.0
25269,2019,10908,0,0.0
25279,2019,1015,0,0.0
25281,2019,514,0,0.0
25286,2019,7175,0,0.0
25288,2019,430,0,0.0
25290,2019,8919,0,0.0
25293,2019,283,0,0.0
25295,2019,1675,0,0.0
25297,2019,528,0,0.0
25299,2019,216,0,0.0
25307,2019,6984,0,0.0
25312,2019,662,0,0.0
25317,2019,1469,0,0.0
25320,2019,1936,0,0.0
25322,2019,1247,0,0.0
25324,2019,171,0,0.0
25326,2019,523,0,0.0
25328,2019,315,0,0.0
25335,2019,741,0,0.0
25339,2019,318,0,0.0
25368,2019,175,0,0.0
25372,2019,325,0,0.0
25377,2019,2092,0,0.0
25386,2019,2284,0,0.0
25394,2019,551,0,0.0
25398,2019,334,0,0.0
25402,2019,1323,0,0.0
25407,2019,1129,0,0.0
25426,2019,324,0,0.0
25430,2019,9961,0,0.0
25436,2019,193,0,0.0
25438,2019,702,0,0.0
25473,2019,10844,0,0.0
25483,2019,151,0,0.0
25486,2019,1466,0,0.0
25488,2019,742,0,0.0
25489,2019,220,0,0.0
25491,2019,477,0,0.0
25506,2019,352,0,0.0
25513,2019,1751,0,0.0
25518,2019,256,0,0.0
